date,average_temperature
2023-03-18,23.586519607843126
2023-03-19,22.178921568627437
2023-03-20,22.945343137254895
2023-03-21,23.28161764705882
2023-03-22,24.025735294117638
2023-03-23,24.69852941176471
2023-03-24,25.522549019607837
2023-03-25,27.113480392156887
2023-03-26,27.659068627450992
2023-03-27,26.290441176470583
2023-03-28,27.832843137254883
2023-03-29,27.622794117647064
2023-03-30,28.086274509803925
2023-03-31,25.89828431372549
2023-04-01,24.54828431372548
2023-04-02,26.385784313725484
2023-04-03,27.637009803921565
2023-04-04,28.303186274509788
2023-04-05,29.572303921568622
2023-04-06,29.383333333333354
2023-04-07,29.733333333333352
2023-04-08,29.98333333333333
2023-04-09,31.008823529411757
2023-04-10,30.910049019607854
2023-04-11,31.66887254901961
2023-04-12,31.7343137254902
2023-04-13,32.143382352941195
2023-04-14,33.19950980392154
2023-04-15,33.46176470588236
2023-04-16,33.313235294117675
2023-04-17,32.94117647058824
2023-04-18,32.582107843137216
2023-04-19,33.060539215686305
2023-04-20,32.72426470588235
2023-04-21,32.91348039215685
2023-04-22,30.037500000000033
2023-04-23,27.930637254901928
2023-04-24,26.400490196078408
2023-04-25,27.79754901960782
2023-04-26,28.379901960784306
2023-04-27,27.89828431372548
2023-04-28,27.015931372549
2023-04-29,28.3546568627451
2023-04-30,28.079166666666662
2023-05-01,26.98553921568628
2023-05-02,28.29289215686275
2023-05-03,27.271568627450982
2023-05-04,27.34411764705881
2023-05-05,28.29754901960781
2023-05-06,29.714460784313733
2023-05-07,30.881617647058818
2023-05-08,31.647549019607872
2023-05-09,31.858088235294087
2023-05-10,31.388235294117646
2023-05-11,30.93848039215684
2023-05-12,31.138970588235278
2023-05-13,30.44142156862743
2023-05-14,31.089705882352924
2023-05-15,29.217401960784308
2023-05-16,30.827696078431387
2023-05-17,30.379411764705864
2023-05-18,28.367156862745116
2023-05-19,29.554656862745084
2023-05-20,30.530882352941212
2023-05-21,31.388480392156875
2023-05-22,31.435784313725485
2023-05-23,30.933578431372567
2023-05-24,28.727696078431368
2023-05-25,30.542892156862752
2023-05-26,28.35073529411765
2023-05-27,27.951225490196038
2023-05-28,28.957598039215693
2023-05-29,30.722549019607868
2023-05-30,30.759313725490177
2023-05-31,31.797549019607878
2023-06-01,31.989705882352947
2023-06-02,31.17205882352939
2023-06-03,31.246813725490206
2023-06-04,31.82181372549019
2023-06-05,32.070833333333326
2023-06-06,31.394607843137255
2023-06-07,32.331127450980404
2023-06-08,31.549754901960807
2023-06-09,28.9688725490196
2023-06-10,30.088725490196076
2023-06-11,29.888235294117642
2023-06-12,30.25980392156862
2023-06-13,31.831127450980404
2023-06-14,33.410294117647055
2023-06-15,33.63848039215684
2023-06-16,32.35024509803918
2023-06-17,32.580637254901966
2023-06-18,31.037499999999998
2023-06-19,29.979411764705862
2023-06-20,31.175980392156838
2023-06-21,29.9512254901961
2023-06-22,28.491176470588215
2023-06-23,28.719362745098056
2023-06-24,27.847549019607854
2023-06-25,28.10808823529412
2023-06-26,26.793872549019575
2023-06-27,26.312990196078424
2023-06-28,27.72549019607844
2023-06-29,28.587745098039235
2023-06-30,29.17230392156863
2023-07-01,28.8531862745098
2023-07-02,29.159803921568592
2023-07-03,29.67279411764707
2023-07-04,29.86029411764707
2023-07-05,28.22598039215689
2023-07-06,28.319117647058853
2023-07-07,28.481372549019607
2023-07-08,28.7450980392157
2023-07-09,29.47647058823528
2023-07-10,28.96446078431369
2023-07-11,29.354411764705898
2023-07-12,28.94779411764704
2023-07-13,28.624019607843106
2023-07-14,28.1906862745098
2023-07-15,27.508578431372545
2023-07-16,28.010539215686265
2023-07-17,28.25931372549019
2023-07-18,28.8406862745098
2023-07-19,29.000735294117657
2023-07-20,29.4953431372549
2023-07-21,28.59656862745097
2023-07-22,28.487254901960767
2023-07-23,29.17058823529409
2023-07-24,29.287009803921546
2023-07-25,28.57573529411766
2023-07-26,28.512990196078437
2023-07-27,28.99681372549019
2023-07-28,29.05710784313724
