date,average_pm25
2023-06-09,35.380197368421044
2023-06-10,35.38855769230771
2023-06-11,34.28013157894738
2023-06-12,33.43853333333332
2023-06-13,34.099967320261456
2023-06-14,33.77342105263159
2023-06-15,37.13268211920531
2023-06-16,37.978790849673224
2023-06-17,36.04644012944982
2023-06-18,34.40517915309449
2023-06-19,31.922622950819665
2023-06-20,32.42182724252492
2023-06-21,28.15713826366559
2023-06-22,26.86550161812298
2023-06-23,15.61334507042254
2023-06-24,21.5672962962963
2023-06-25,17.423173431734313
2023-06-26,18.814710144927535
2023-06-27,11.953033333333334
2023-06-28,16.417629629629623
2023-06-29,27.2271375464684
2023-06-30,26.285590277777786
2023-07-01,22.143376623376632
2023-07-02,26.083267326732667
2023-07-03,23.91551612903225
2023-07-04,16.43613013698631
2023-07-05,8.231389830508473
2023-07-06,10.672034482758619
2023-07-07,14.579468085106376
2023-07-08,15.742444444444448
2023-07-09,24.549885931558936
2023-07-10,28.015182481751832
2023-07-11,18.378204225352114
2023-07-12,12.395663082437263
2023-07-13,9.83929078014185
2023-07-14,25.136202090592317
2023-07-15,17.490071684587807
2023-07-16,19.588333333333335
2023-07-17,15.179189189189195
2023-07-18,14.510744336569587
2023-07-19,9.747941176470581
2023-07-20,8.135176848874597
2023-07-21,9.684032258064525
2023-07-22,10.204019292604505
2023-07-23,10.297051282051285
2023-07-24,11.129580645161292
2023-07-25,9.329775641025645
2023-07-26,10.552403846153855
2023-07-27,14.37339743589744
2023-07-28,13.446516129032249
2023-07-29,16.210549828178692
2023-07-30,21.930288461538463
2023-07-31,27.056895424836593
2023-08-01,18.629967741935474
2023-08-02,8.172201492537315
2023-08-03,23.435424354243544
2023-08-04,27.641046931407924
2023-08-05,28.77095070422537
2023-08-06,33.41205574912891
2023-08-07,32.845186440677985
2023-08-08,36.25177993527509
2023-08-09,39.51148867313914
2023-08-10,42.276501650164995
2023-08-11,35.271483870967764
2023-08-12,35.55254019292605
2023-08-13,34.10846405228758
2023-08-14,36.8879166666667
2023-08-15,36.66105769230765
2023-08-16,35.37351612903226
2023-08-17,33.70832797427652
2023-08-18,18.245608974358976
2023-08-19,19.30569023569024
2023-08-20,29.732746478873228
2023-08-21,24.88450704225354
2023-08-22,30.988194444444446
2023-08-23,29.379430604982208
2023-08-24,24.89505791505792
2023-08-25,28.003549618320616
2023-08-26,31.854642857142856
2023-08-27,35.74885826771653
2023-08-28,43.3752091254753
2023-08-29,46.42411111111112
2023-08-30,48.032352941176484
2023-08-31,47.3944262295082
2023-09-01,45.64551282051285
2023-09-02,44.79919191919193
2023-09-03,38.29676567656764
2023-09-04,21.057100977198697
2023-09-05,16.132852459016394
2023-09-06,11.416118421052637
2023-09-07,12.116229508196716
2023-09-08,19.320622837370248
2023-09-09,20.806315789473683
2023-09-10,26.045743944636676
2023-09-11,24.207813620071704
2023-09-12,20.846553030303035
2023-09-13,15.436557971014492
2023-09-14,16.353720136518767
2023-09-15,20.611458966565344
2023-09-16,25.796000000000003
2023-09-17,23.45856677524429
2023-09-18,24.261140065146595
2023-09-19,9.059051094890505
2023-09-20,15.92682481751825
2023-09-21,23.5996797153025
2023-09-22,22.64675958188152
2023-09-23,22.673271375464676
2023-09-24,30.546423076923077
2023-09-25,29.57311643835616
2023-09-26,24.892989690721635
2023-09-27,31.48054347826088
2023-09-28,43.89375939849624
2023-09-29,41.38616564417177
2023-09-30,19.66522580645161
2023-10-01,27.033198653198657
2023-10-02,37.55900641025641
2023-10-03,19.631081081081085
2023-10-04,22.73644518272424
2023-10-05,45.11346625766872
2023-10-06,37.967815384615385
2023-10-07,45.357386018237044
2023-10-08,46.68151202749138
2023-10-09,51.20654723127038
2023-10-10,48.2910062893082
2023-10-11,50.07155844155842
2023-10-12,51.70809523809528
2023-10-13,48.240986842105286
2023-10-14,47.949377289377324
2023-10-15,49.77230769230771
2023-10-16,54.29401840490797
2023-10-17,54.75356083086058
2023-10-18,43.086194690265515
2023-10-19,31.091557632398764
2023-10-20,27.35935275080907
2023-10-21,26.213499999999993
2023-10-22,27.263402061855675
2023-10-23,26.227947019867553
2023-10-24,19.372433333333312
2023-10-25,25.874351851851845
2023-10-26,30.122784810126564
2023-10-27,37.756994047619045
2023-10-28,44.405590778098
2023-10-29,43.27540229885057
2023-10-30,52.55076687116564
2023-10-31,47.311715116279096
2023-11-01,43.10166666666663
2023-11-02,49.061806853582524
2023-11-03,60.18463722397475
2023-11-04,45.97276595744683
2023-11-05,63.738960244648325
2023-11-06,58.43097484276731
2023-11-07,70.84616314199391
2023-11-08,69.6088130563798
2023-11-09,70.62850609756097
2023-11-10,79.0210927152318
2023-11-11,82.22668965517236
2023-11-12,77.3448339483395
2023-11-13,58.41548611111111
2023-11-14,54.8458181818182
2023-11-15,47.76504477611942
2023-11-16,42.10023255813951
2023-11-17,26.796802325581403
2023-11-18,31.935885885885927
2023-11-19,39.95012820512822
2023-11-20,42.96167721518986
2023-11-21,63.627784615384655
2023-11-22,96.8321739130434
2023-11-23,109.97428125000002
2023-11-24,99.78253822629966
2023-11-25,77.48193083573489
2023-11-26,64.13153392330386
2023-11-27,67.58600583090382
2023-11-28,60.00469740634005
2023-11-29,80.75181556195969
2023-11-30,85.42481268011524
2023-12-01,47.922471590909076
2023-12-02,66.44794202898545
2023-12-03,98.21556521739116
2023-12-04,78.69985955056185
2023-12-05,49.675994236311226
2023-12-06,57.954644970414215
2023-12-07,35.54781249999999
2023-12-08,39.7270205479452
2023-12-09,67.81683706070288
2023-12-10,80.81353135313537
2023-12-11,76.79426791277265
2023-12-12,93.35457227138639
2023-12-13,82.79642228739003
2023-12-14,86.99601190476186
2023-12-15,100.48002941176475
2023-12-16,96.50544117647063
2023-12-17,94.71755747126429
2023-12-18,97.88843478260866
2023-12-19,91.2292485549133
2023-12-20,80.76011869436208
2023-12-21,72.62557471264365
2023-12-22,86.68513274336287
2023-12-23,84.84239766081875
2023-12-24,92.62704477611935
2023-12-25,91.69085470085467
2023-12-26,87.56934097421194
2023-12-27,82.54531976744188
2023-12-28,76.64346153846154
2023-12-29,74.16712209302322
2023-12-30,79.99740524781342
2023-12-31,91.64090379008746
2024-01-01,92.32842261904759
2024-01-02,83.40971014492756
2024-01-03,71.11511627906975
2024-01-04,77.67906432748536
2024-01-05,86.230119047619
2024-01-06,79.05092592592597
2024-01-07,97.60183800623057
2024-01-08,104.17686746987958
2024-01-09,90.50987538940812
2024-01-10,85.94808510638299
2024-01-11,81.82808695652182
2024-01-12,82.81988338192419
2024-01-13,82.04072046109516
2024-01-14,105.27647761194028
2024-01-15,110.77088571428568
2024-01-16,99.89799435028245
2024-01-17,86.15797720797718
2024-01-18,92.60877437325908
2024-01-19,88.8376944444444
2024-01-20,96.40401709401706
2024-01-21,104.06400000000008
2024-01-22,94.03607954545451
2024-01-23,88.84345505617983
2024-01-24,86.9912777777778
2024-01-25,85.92617142857146
2024-01-26,87.57943283582092
2024-01-27,62.60205128205127
2024-01-28,75.10838888888888
2024-01-29,77.33885793871873
2024-01-30,69.1398044692738
2024-01-31,67.19209497206705
2024-02-01,67.74152112676057
2024-02-02,72.73901129943503
2024-02-03,70.9336391437309
2024-02-04,76.83975384615383
2024-02-05,68.58411411411416
2024-02-06,76.3528295819936
2024-02-07,63.609619047619
2024-02-08,50.17510703363913
2024-02-09,49.288461538461526
2024-02-10,61.61941558441558
2024-02-11,71.32422712933761
2024-02-12,82.57260869565222
2024-02-13,92.91935933147629
2024-02-14,82.86819444444441
2024-02-15,88.41348314606743
2024-02-16,86.54343023255815
2024-02-17,75.67824404761897
2024-02-18,75.24608069164265
2024-02-19,61.95709039548023
2024-02-20,55.79267062314541
2024-02-21,50.81603399433431
2024-02-22,67.87067251461987
2024-02-23,47.75724852071009
2024-02-24,51.57241573033704
2024-02-25,44.081376404494385
2024-02-26,47.82797222222222
2024-02-27,53.75055555555553
2024-02-28,56.289881656804745
2024-02-29,72.35514880952384
2024-03-01,96.65536784741141
2024-03-02,62.07847411444141
2024-03-03,57.47269444444441
2024-03-04,54.16899182561305
2024-03-05,51.52148148148144
2024-03-06,46.149385026737995
2024-03-07,50.18855227882038
2024-03-08,48.21304093567245
2024-03-09,48.20601173020532
2024-03-10,47.312832369942186
2024-03-11,46.35040697674416
2024-03-12,52.27887005649717
2024-03-13,46.391192660550445
2024-03-14,44.96136231884058
2024-03-15,48.78320105820106
2024-03-16,45.04508241758243
2024-03-17,43.91698863636364
2024-03-18,56.963885869565225
2024-03-19,46.16338028169016
2024-03-20,32.18125786163523
2024-03-21,41.38817307692308
2024-03-22,48.06267123287673
2024-03-23,53.252806451612926
2024-03-24,42.5842771084337
2024-03-25,40.83759759759762
